"log_Gamma","ATT_LB","SE_LB","SE.Boot_LB","ATT_UB","SE_UB","SE.Boot_UB"
0.25,-1.40729224013718,0.113155683869031,0.121917256321946,-0.436313742213874,0.118012248153135,0.121255911778939
0.26,-1.42701915642258,0.113164371895018,0.126725709442606,-0.416871394606125,0.118171467035713,0.11967615374532
0.27,-1.44625579172384,0.113266682934436,0.127457363498261,-0.398934042357063,0.118417269678042,0.119890293977833
0.28,-1.46699363430898,0.113293611315852,0.128040141746264,-0.380296736914076,0.118599397319183,0.122835147703705
0.29,-1.48752822487144,0.113386541471303,0.126563519932856,-0.36124919941211,0.118741006145869,0.120444347652323
0.3,-1.50879678838522,0.113351785293181,0.125385063836754,-0.342031764052686,0.118958318517263,0.117678884323457
0.31,-1.52913218438221,0.113378299170558,0.122393765021135,-0.32230891092361,0.119273348850665,0.11790557690309
0.32,-1.54819595313483,0.113418596541602,0.123050894539124,-0.303171051134929,0.119420429625892,0.122675291491077
0.33,-1.56917229216862,0.113566035926981,0.129400276362952,-0.285438274336832,0.119633641782643,0.12079502877356
0.34,-1.59010941492711,0.113661331182477,0.131431800537084,-0.267718911748791,0.119788073406791,0.11777711792998
0.35,-1.61235849812252,0.113685468464963,0.122259055237336,-0.247942349889175,0.119947395161505,0.120676127051709
0.36,-1.63287636683804,0.113668079285664,0.129808367666796,-0.22899200820373,0.120369817883943,0.120419072493239
0.37,-1.65297116598956,0.113710995934547,0.130916570808716,-0.209692555605493,0.120542365851521,0.115791515693996
0.38,-1.67282525991143,0.113956061807163,0.130157198686492,-0.192216739317835,0.120736041223427,0.121077910646187
0.39,-1.69396022592077,0.114026448238221,0.131611322261098,-0.174542880425065,0.120903158982888,0.121860318971911
0.4,-1.71642501068301,0.114100204357453,0.129933511644025,-0.15483829139735,0.121023619218804,0.121874781360734
0.41,-1.73671050528159,0.114106575749235,0.132803420703174,-0.13566405811498,0.121426749938106,0.12136864890544
0.42,-1.75738648305419,0.114129829682547,0.137964976834448,-0.116987474987692,0.121659623430101,0.117777854366528
0.43,-1.77717732050161,0.114267213405714,0.12799776578305,-0.0984729246451581,0.121859608789888,0.121793440297004
0.44,-1.79884396972161,0.114515266014587,0.134726997616893,-0.0812585120088123,0.122046768043191,0.120838344739999
0.45,-1.82008351341481,0.114643897332413,0.132167514503683,-0.0622995418093442,0.122186325113049,0.126534080144696
0.46,-1.84199979525415,0.114707009531217,0.131324430679271,-0.0421919110635383,0.122582986269246,0.125235853443472
0.47,-1.86304875462632,0.114750780883784,0.13765819402804,-0.0234431949402689,0.122855987352398,0.125740484265432
0.48,-1.88385509105212,0.114783945354104,0.13938783302335,-0.00568630304800951,0.123101934269011,0.12228175636672
0.49,-1.90494118511031,0.115153958054179,0.136441081882044,0.0131857088279345,0.123343591750892,0.120306147409975
0.5,-1.92634456141715,0.115384563883773,0.133926602663048,0.0316154123019881,0.123543932696199,0.12356746632028
0.51,-1.94777744017144,0.11548462387468,0.141179661808062,0.0516740869394888,0.123934785845026,0.119559721768491
0.52,-1.96845186251795,0.115580623378603,0.134698925107316,0.0699620288356756,0.124190678008555,0.124045557439684
0.53,-1.98988677991024,0.115706666618416,0.136741905177335,0.0891355390387818,0.124516978146162,0.124455838223449
0.54,-2.01225693656169,0.115989876893321,0.141100154682062,0.107125782058001,0.124808996067847,0.122868213262866
0.55,-2.03297714270269,0.116396068103136,0.132504876693059,0.127298304213132,0.125045832575406,0.126837923248548
0.56,-2.05294809733271,0.116615965015148,0.142637829789982,0.145940162158642,0.125450760905784,0.125726649496574
0.57,-2.07465964163961,0.116766557761593,0.140481612768443,0.16509552670597,0.125638857259858,0.123723655229414
0.58,-2.0979806296384,0.116936349978243,0.14267680717954,0.184123473224072,0.125916078535536,0.125069596783381
0.59,-2.11932426791106,0.117013272631293,0.142222911867382,0.203805637894802,0.126235871341654,0.128072071696377
0.6,-2.14031121871239,0.117632798159744,0.146355553294631,0.22346063771132,0.126562783778251,0.130077239351875
0.61,-2.1596764534877,0.117860468427447,0.143858618272105,0.242309331260834,0.127078537309745,0.13002640667384
0.62,-2.18249430536266,0.118067992597319,0.139469388120381,0.261034422411135,0.127309084095277,0.128990277069226
0.63,-2.20503600361865,0.118260077502506,0.14187753358741,0.279696015896618,0.127633072159395,0.124324387784086
0.64,-2.22821251470273,0.118404023439169,0.143611126379274,0.299507213625466,0.127823708579806,0.129486287724207
0.65,-2.25023676809088,0.118740810915601,0.151055022905824,0.318439166487008,0.128215940882131,0.133030879724092
0.66,-2.27148513545572,0.119223540583931,0.147709555765194,0.339044454180937,0.128810143295216,0.126780855658552
0.67,-2.29228472988427,0.119565541231918,0.149470232490575,0.355403462224019,0.129139080729495,0.129813724822255
0.68,-2.31570213024531,0.119798800108738,0.146440088933612,0.373952469015861,0.1293321775716,0.129663445066408
0.69,-2.33875657499964,0.119984354754311,0.145220489850352,0.392324578911844,0.129703789896393,0.12909518458755
0.7,-2.36306286031076,0.120282347908561,0.15047419342753,0.40948509580302,0.130026551899463,0.131705677994962
0.71,-2.38272558963815,0.120761432447763,0.154169315879753,0.431110174817676,0.130884548857375,0.131233130513335
0.72,-2.40327213925919,0.12131271721757,0.146475938708873,0.448129850821655,0.131126097866137,0.130988425873207
0.73,-2.42495175227965,0.121577438463747,0.148994898375884,0.465381260809022,0.131471061683348,0.136815888208184
0.74,-2.4472751438363,0.121807816512459,0.149853174268958,0.48306197828477,0.131822451066993,0.136464895697369
0.75,-2.47242202750318,0.122232064860201,0.152923907597172,0.50170324580205,0.132165065768456,0.132279328682263
0.76,-2.49411073246609,0.122503975628855,0.159477569699569,0.51931783469308,0.132789182749491,0.129466780128677
