"BATCH","Est_DID_NP_X_01","Est_DID_NP_X_02","Est_UDID_NP_X_01","Est_UDID_NP_X_02","SE_DID_NP_X_01","SE_DID_NP_X_02","SE_UDID_NP_X_01","SE_UDID_NP_X_02","BSE_UDID_NP_X_01","BSE_UDID_NP_X_02","DID_Time","UDID_Time_01","UDID_Time_02"
42,-0.322834885123203,-0.82897396138041,0.00304436097193837,-0.900457705772422,0.150413341868807,0.128338597164378,0.124952608861559,0.112879640876861,0.128106803277608,0.12110704188877,557.902943134308,260.399050235748,255.278740406036
43,-0.287480655638853,-0.924704855654097,0.0277766809787322,-0.953417460960184,0.139882877286177,0.121439713696934,0.119083686809793,0.10714713897372,0.12326796326089,0.110565157832052,584.664605617523,272.850589752197,272.083998680115
44,-0.307530764937864,-0.874105902863261,0.00273718762280577,-0.909649306909481,0.13988507862626,0.140804297232242,0.134953686135287,0.116786786586168,0.133340162449987,0.123411397230142,572.798979997635,274.382162332535,277.961439847946
45,-0.338585439383134,-0.890804095831908,-0.0512387884359709,-0.962622401242277,0.157376660631886,0.137075563269976,0.125829068818366,0.112645210791505,0.121912383883178,0.119359026116948,506.742605686188,240.608578443527,241.378753423691
46,-0.334572495748041,-0.934375545491022,-0.0105550055711899,-0.94050477136853,0.148390496294002,0.128368884352426,0.131792544827092,0.115973268697174,0.134177504948431,0.126228883357527,610.444449663162,258.348404407501,258.433273792267
47,-0.247860775166616,-0.934685387048654,0.00918145335598551,-0.894776616609721,0.140331026307711,0.120189183538794,0.128522341536356,0.11544581937649,0.129824461060878,0.121888096249584,576.33648276329,263.793193340302,268.15664935112
48,-0.257657867360011,-0.904894743377672,-0.0508664411935667,-0.897572780640658,0.136901766256478,0.11700921193855,0.145152134223873,0.13262651339772,0.143294027943442,0.142601475521027,567.995004415512,259.398862123489,259.644439697266
49,-0.27405775848113,-0.939500700204449,0.0471069881094943,-0.91801238390253,0.173348348884038,0.14835963723761,0.147648366296153,0.132545279852351,0.14623270733674,0.138732708933533,473.547197818756,214.491053581238,228.734736680984
50,-0.274588814409504,-0.906746885216655,0.0363415240622948,-0.957840933819908,0.166503287601913,0.131208848524929,0.15562662364631,0.120046211298294,0.151656350799565,0.123392651138988,506.282338619232,226.99675989151,239.343307971954
51,-0.302993101385013,-0.942322973515167,-0.0360801012298292,-0.900537961350194,0.143198485750019,0.135654599395765,0.124803917617403,0.110918935480938,0.125906610938338,0.116308512927886,508.943866968155,230.682694911957,243.018230199814
52,-0.194351440639614,-0.977673427974252,0.0326475320238869,-0.918006569346311,0.157770964682109,0.125562532495299,0.127295210807169,0.110054753993463,0.126711756431039,0.111974816267376,454.400587320328,212.53209900856,231.834192752838
53,-0.397979167793104,-0.882462458904077,-0.0260706038171792,-0.946593406070512,0.179616120023309,0.150725150211278,0.124321640366781,0.115948019547,0.126046540103435,0.121680693437994,495.862542867661,217.591260910034,230.620941638947
54,-0.354941435998609,-0.920044019937966,-0.0221143485096092,-0.909109532985015,0.158804791192493,0.128653670982599,0.138625832623479,0.118661930694203,0.13530789364728,0.122077126336137,598.511212348938,273.49392080307,261.887084245682
55,-0.305077093850858,-1.00370426379031,0.0250212135174355,-0.896934281452701,0.145020577449566,0.131287349573911,0.12820262927788,0.12061233409121,0.126654210134738,0.128499429459657,464.117629528046,253.708578586578,274.136651039124
56,-0.244695450766014,-0.899099299374757,-0.0174353483098606,-0.875228269645303,0.135107299338161,0.124595106003391,0.138593358429081,0.119289482471946,0.133540971869914,0.122658583607053,648.3304708004,282.74226808548,271.059727668762
57,-0.338213514628924,-0.93279333569725,-0.0370441383748176,-0.911304470143324,0.14459941996045,0.124632994066911,0.127272954500843,0.117230432898284,0.129910240455684,0.12304096599909,421.945996761322,182.71143245697,191.927729606628
58,-0.309640805743513,-0.898163349603467,0.0316141975740174,-0.917956650562005,0.143719186614095,0.120325881576254,0.125297814733283,0.115470813788089,0.120813885878079,0.12080693442232,535.566095113754,243.702607154846,250.270104885101
59,-0.390030350967733,-0.916235762169504,-0.0358253950153576,-0.934367580332079,0.182171464187955,0.139358472388766,0.13804686188483,0.122034607899884,0.137724780892834,0.125999040945518,502.324892282486,237.94140291214,244.366593360901
60,-0.304807708894366,-0.889883592584543,0.0173974067352136,-0.906434198632428,0.140381304935879,0.119191511264942,0.128424528452709,0.108953026162699,0.131041135625078,0.124019661291984,688.939046859741,300.486400365829,294.798076629639
61,-0.357521197195028,-0.852868120930197,-0.0672792306812909,-0.902045356670176,0.169918092807784,0.202942284115814,0.137224532600005,0.133556332483536,0.142119207734587,0.140438674846666,467.162092924118,203.440307617188,224.354045152664
62,-0.548135425301489,-0.621804128206609,-0.138857942769476,-0.817651922280802,0.350781921340684,0.349620591504003,0.170771887205898,0.178578463493092,0.168919426543513,0.179803515542786,561.469580173492,266.310310840607,268.989045381546
63,-0.305226328653285,-0.906393700367275,-0.00295782956933228,-0.911826782818786,0.14260679295154,0.121396554582843,0.14207102879076,0.116296318041423,0.142881504663962,0.120934605455447,536.188056945801,242.993562936783,245.180333375931
64,-0.372875303598012,-0.851722742530248,-0.0388917313693819,-0.923415502105518,0.171832043356202,0.13465016665196,0.143128217382389,0.118974564460551,0.143053062393762,0.12246796835039,592.107962608337,258.776017427444,270.268979072571
65,-0.333716438731217,-0.839094753198572,0.0122923313940803,-0.891958656711485,0.13893794469863,0.128192760311159,0.132085483870151,0.125749187212931,0.13447255643665,0.129889426145158,357.838813066483,154.153125524521,155.354561805725
66,-0.283715072685035,-0.974418856689126,-0.0331369858546134,-0.909610416479915,0.135877540887318,0.12774438918926,0.123198813120151,0.115594659743921,0.120507982289766,0.123199530197501,565.10311126709,281.532659292221,279.890980005264
67,-0.276181429744194,-0.843235433312165,0.0142834319382548,-0.869144945850008,0.157557340017165,0.1297772472641,0.149530874588093,0.120818958930826,0.152440232723924,0.124048438553518,566.573242664337,257.763960599899,253.524679899216
68,-0.375342969473837,-0.911864932668285,0.00474234027079302,-0.920410897896334,0.167977048741864,0.139938445849761,0.140306306186085,0.112335092054787,0.138498730999278,0.120103798181378,482.293222904205,213.932288169861,233.171274900436
69,-0.258066217913734,-0.89439232448032,0.0613335056697313,-0.901755596459133,0.13227432232348,0.119065860181347,0.119410639199948,0.110504135050268,0.121037659515947,0.117322986754725,545.919682025909,252.415863752365,244.268259763718
70,-0.288722302241621,-0.90213089059972,0.00761148128185128,-0.905909153869117,0.165046181879794,0.130495381537997,0.137843547310261,0.115446148770169,0.136276047330257,0.118585423855758,336.839503288269,148.328243255615,148.079823255539
71,-0.259474873678519,-0.951483148593279,0.0113181999212235,-0.86589764426857,0.131707905977413,0.11231844809131,0.120483241733887,0.116959542445487,0.12050655482334,0.12135313732068,360.037281513214,153.959964752197,158.695659160614
72,-0.286541073762749,-0.949601878146169,0.00321896353710217,-0.915699188781082,0.136260536185007,0.124206264754775,0.116368853308074,0.106995862192762,0.116854111682709,0.114727662109049,465.570336580276,220.242134332657,259.794054269791
73,-0.310581111270439,-0.872833071822011,0.0366231609141746,-0.927551007518728,0.153967503949958,0.132757078724295,0.131197436200823,0.114619478697187,0.130133589683623,0.120940290344055,498.426110982895,218.062903165817,266.985885858536
74,-0.297029100400585,-0.963044169397943,-0.043927842832842,-0.911929086228828,0.144014200830701,0.124362832783087,0.134774630845378,0.116632328742039,0.12906309839452,0.122445093872644,557.146877288818,266.589921236038,261.366942405701
75,-0.364438662710462,-0.873590235035017,0.0318719505307697,-0.926153016929402,0.203258745335038,0.138503718561499,0.129045489349992,0.114448609008306,0.126769211633736,0.126340824266094,923.222088098526,421.31087064743,441.831257581711
76,-0.344043412534371,-0.875635358850719,0.0394022715526397,-0.900146504273921,0.173404591753325,0.156264014980897,0.125836359780864,0.111288586065934,0.125610744470039,0.116275369407221,566.800226211548,266.840182781219,272.779222726822
77,-0.314506670168141,-0.835873877284255,0.058839330149332,-0.929537983241185,0.170176336526944,0.144102757719072,0.126925685464966,0.112704556856614,0.12636840334609,0.114282585568026,558.699675559998,246.760736942291,249.409470796585
